Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 9 1985,FC Schalke 04,0-1,Werder Bremen
1,Sat Aug 10 1985,Fortuna Düsseldorf,4-1,SV Waldhof Mannheim
1,Sat Aug 10 1985,1. FC Nürnberg,0-1,VfL Bochum
1,Sat Aug 10 1985,1. FC Köln,1-1,Eintracht Frankfurt
1,Sat Aug 10 1985,Hamburger SV,4-1,1. FC Kaiserslautern
1,Sat Aug 10 1985,1. FC Saarbrücken,1-1,Borussia Dortmund
1,Sat Aug 10 1985,Hannover 96,1-1,Bayer 04 Leverkusen
1,Sat Aug 10 1985,VfB Stuttgart,0-0,Bor. Mönchengladbach
1,Sat Aug 10 1985,KFC Uerdingen,1-0,Bayern München
2,Fri Aug 16 1985,Werder Bremen,8-2,Hannover 96
2,Fri Aug 16 1985,Borussia Dortmund,1-1,Hamburger SV
2,Fri Aug 16 1985,SV Waldhof Mannheim,2-0,KFC Uerdingen
2,Sat Aug 17 1985,Bayern München,4-1,VfB Stuttgart
2,Sat Aug 17 1985,Bayer 04 Leverkusen,2-0,1. FC Saarbrücken
2,Sat Aug 17 1985,1. FC Kaiserslautern,1-0,1. FC Köln
2,Sat Aug 17 1985,Eintracht Frankfurt,1-1,1. FC Nürnberg
2,Sat Aug 17 1985,VfL Bochum,5-3,Fortuna Düsseldorf
2,Sat Aug 17 1985,Bor. Mönchengladbach,4-0,FC Schalke 04
3,Tue Aug 20 1985,Fortuna Düsseldorf,0-1,Eintracht Frankfurt
3,Tue Aug 20 1985,SV Waldhof Mannheim,4-1,VfL Bochum
3,Wed Aug 21 1985,1. FC Nürnberg,3-1,1. FC Kaiserslautern
3,Wed Aug 21 1985,1. FC Köln,2-0,Borussia Dortmund
3,Wed Aug 21 1985,1. FC Saarbrücken,1-1,Werder Bremen
3,Wed Aug 21 1985,Hannover 96,2-3,Bor. Mönchengladbach
3,Wed Aug 21 1985,FC Schalke 04,0-1,Bayern München
3,Wed Aug 21 1985,KFC Uerdingen,1-4,VfB Stuttgart
4,Sat Aug 31 1985,Bayer 04 Leverkusen,1-1,1. FC Köln
4,Sat Aug 31 1985,Bor. Mönchengladbach,2-0,1. FC Saarbrücken
4,Sat Aug 31 1985,VfL Bochum,1-2,KFC Uerdingen
4,Sat Aug 31 1985,VfB Stuttgart,0-1,FC Schalke 04
4,Sat Aug 31 1985,Borussia Dortmund,1-4,1. FC Nürnberg
4,Sat Aug 31 1985,1. FC Kaiserslautern,2-0,Fortuna Düsseldorf
4,Sat Aug 31 1985,Eintracht Frankfurt,0-0,SV Waldhof Mannheim
4,Sat Aug 31 1985,Werder Bremen,2-0,Hamburger SV
5,Tue Sep 3 1985,SV Waldhof Mannheim,1-1,1. FC Kaiserslautern
5,Tue Sep 3 1985,1. FC Saarbrücken,1-1,Bayern München
5,Tue Sep 3 1985,VfL Bochum,2-1,Eintracht Frankfurt
5,Tue Sep 3 1985,KFC Uerdingen,3-2,FC Schalke 04
5,Wed Sep 4 1985,1. FC Köln,3-3,Werder Bremen
5,Wed Sep 4 1985,1. FC Nürnberg,3-2,Bayer 04 Leverkusen
5,Wed Sep 4 1985,Hamburger SV,4-1,Bor. Mönchengladbach
5,Wed Sep 4 1985,Fortuna Düsseldorf,4-2,Borussia Dortmund
5,Wed Sep 4 1985,Hannover 96,1-3,VfB Stuttgart
6,Fri Sep 6 1985,1. FC Kaiserslautern,2-0,VfL Bochum
6,Sat Sep 7 1985,Bayern München,2-0,Hamburger SV
6,Sat Sep 7 1985,FC Schalke 04,2-2,Hannover 96
6,Sat Sep 7 1985,Eintracht Frankfurt,1-1,KFC Uerdingen
