Matchday,Date,Team 1,FT,Team 2
1,Fri Aug 5 2005,Bayern München,3-0,Bor. Mönchengladbach
1,Sat Aug 6 2005,MSV Duisburg,1-1,VfB Stuttgart
1,Sat Aug 6 2005,1. FC Köln,1-0,1. FSV Mainz 05
1,Sat Aug 6 2005,Hamburger SV,3-0,1. FC Nürnberg
1,Sat Aug 6 2005,Hannover 96,2-2,Hertha BSC
1,Sat Aug 6 2005,Werder Bremen,5-2,Arminia Bielefeld
1,Sat Aug 6 2005,VfL Wolfsburg,2-2,Borussia Dortmund
1,Sun Aug 7 2005,Eintracht Frankfurt,1-4,Bayer 04 Leverkusen
1,Sun Aug 7 2005,FC Schalke 04,2-1,1. FC Kaiserslautern
2,Sat Aug 13 2005,Arminia Bielefeld,0-2,Hamburger SV
2,Sat Aug 13 2005,Borussia Dortmund,1-2,FC Schalke 04
2,Sat Aug 13 2005,Hertha BSC,2-0,Eintracht Frankfurt
2,Sat Aug 13 2005,1. FC Kaiserslautern,5-3,MSV Duisburg
2,Sat Aug 13 2005,Bayer 04 Leverkusen,2-5,Bayern München
2,Sat Aug 13 2005,Bor. Mönchengladbach,1-1,VfL Wolfsburg
2,Sat Aug 13 2005,1. FC Nürnberg,1-1,Hannover 96
2,Sun Aug 14 2005,1. FSV Mainz 05,0-2,Werder Bremen
2,Sun Aug 14 2005,VfB Stuttgart,2-3,1. FC Köln
3,Sat Aug 27 2005,Bayern München,3-0,Hertha BSC
3,Sat Aug 27 2005,Eintracht Frankfurt,1-0,1. FC Nürnberg
3,Sat Aug 27 2005,1. FC Köln,2-3,1. FC Kaiserslautern
3,Sat Aug 27 2005,Hamburger SV,1-1,Hannover 96
3,Sat Aug 27 2005,FC Schalke 04,1-1,Bor. Mönchengladbach
3,Sat Aug 27 2005,Werder Bremen,1-1,VfB Stuttgart
3,Sat Aug 27 2005,VfL Wolfsburg,2-1,Bayer 04 Leverkusen
3,Sun Aug 28 2005,Arminia Bielefeld,2-0,1. FSV Mainz 05
3,Sun Aug 28 2005,MSV Duisburg,1-1,Borussia Dortmund
4,Sat Sep 10 2005,Hannover 96,2-0,Eintracht Frankfurt
4,Sat Sep 10 2005,1. FC Kaiserslautern,1-5,Werder Bremen
4,Sat Sep 10 2005,Bayer 04 Leverkusen,1-1,FC Schalke 04
4,Sat Sep 10 2005,1. FSV Mainz 05,1-3,Hamburger SV
4,Sat Sep 10 2005,Bor. Mönchengladbach,2-1,MSV Duisburg
4,Sat Sep 10 2005,1. FC Nürnberg,1-2,Bayern München
4,Sat Sep 10 2005,VfB Stuttgart,1-1,Arminia Bielefeld
4,Sun Sep 11 2005,Borussia Dortmund,2-1,1. FC Köln
4,Sun Sep 11 2005,Hertha BSC,3-0,VfL Wolfsburg
5,Sat Sep 17 2005,Bayern München,1-0,Hannover 96
5,Sat Sep 17 2005,Arminia Bielefeld,0-0,1. FC Kaiserslautern
5,Sat Sep 17 2005,1. FC Köln,2-1,Bor. Mönchengladbach
5,Sat Sep 17 2005,Hamburger SV,1-1,Eintracht Frankfurt
5,Sat Sep 17 2005,1. FSV Mainz 05,1-2,VfB Stuttgart
5,Sat Sep 17 2005,Werder Bremen,3-2,Borussia Dortmund
5,Sat Sep 17 2005,VfL Wolfsburg,1-1,1. FC Nürnberg
5,Sun Sep 18 2005,MSV Duisburg,1-3,Bayer 04 Leverkusen
5,Sun Sep 18 2005,FC Schalke 04,0-0,Hertha BSC
6,Tue Sep 20 2005,Borussia Dortmund,2-0,Arminia Bielefeld
6,Tue Sep 20 2005,Eintracht Frankfurt,0-1,Bayern München
6,Tue Sep 20 2005,Hannover 96,2-4,VfL Wolfsburg
6,Tue Sep 20 2005,Bor. Mönchengladbach,2-1,Werder Bremen
6,Wed Sep 21 2005,Hertha BSC,3-2,MSV Duisburg
6,Wed Sep 21 2005,1. FC Kaiserslautern,0-2,1. FSV Mainz 05
6,Wed Sep 21 2005,Bayer 04 Leverkusen,2-1,1. FC Köln
6,Wed Sep 21 2005,1. FC Nürnberg,1-1,FC Schalke 04
6,Wed Sep 21 2005,VfB Stuttgart,1-2,Hamburger SV
7,Sat Sep 24 2005,Arminia Bielefeld,0-2,Bor. Mönchengladbach
7,Sat Sep 24 2005,MSV Duisburg,1-0,1. FC Nürnberg
7,Sat Sep 24 2005,Hamburger SV,2-0,Bayern München
7,Sat Sep 24 2005,1. FSV Mainz 05,1-1,Borussia Dortmund
7,Sat Sep 24 2005,FC Schalke 04,2-0,Hannover 96
7,Sat Sep 24 2005,Werder Bremen,2-1,Bayer 04 Leverkusen
7,Sat Sep 24 2005,VfL Wolfsburg,1-0,Eintracht Frankfurt
7,Sun Sep 25 2005,1. FC Köln,0-1,Hertha BSC
7,Sun Sep 25 2005,VfB Stuttgart,1-0,1. FC Kaiserslautern
8,Sat Oct 1 2005,Bayern München,2-0,VfL Wolfsburg
8,Sat Oct 1 2005,Eintracht Frankfurt,0-1,FC Schalke 04
8,Sat Oct 1 2005,Hannover 96,1-1,MSV Duisburg
8,Sat Oct 1 2005,Hertha BSC,1-2,Werder Bremen
8,Sat Oct 1 2005,Bayer 04 Leverkusen,1-1,Arminia Bielefeld
8,Sat Oct 1 2005,Bor. Mönchengladbach,1-0,1. FSV Mainz 05
8,Sat Oct 1 2005,1. FC Nürnberg,2-1,1. FC Köln
8,Sun Oct 2 2005,Borussia Dortmund,0-0,VfB Stuttgart
8,Sun Oct 2 2005,1. FC Kaiserslautern,0-3,Hamburger SV
9,Sat Oct 15 2005,Arminia Bielefeld,3-0,Hertha BSC
9,Sat Oct 15 2005,Werder Bremen,6-2,1. FC Nürnberg
9,Sat Oct 15 2005,VfB Stuttgart,1-1,Bor. Mönchengladbach
9,Sat Oct 15 2005,Hamburger SV,0-1,VfL Wolfsburg
9,Sat Oct 15 2005,1. FC Kaiserslautern,3-3,Borussia Dortmund
9,Sat Oct 15 2005,1. FSV Mainz 05,3-1,Bayer 04 Leverkusen
9,Sat Oct 15 2005,FC Schalke 04,1-1,Bayern München
9,Sun Oct 16 2005,1. FC Köln,1-4,Hannover 96
9,Sun Oct 16 2005,MSV Duisburg,0-1,Eintracht Frankfurt
10,Sat Oct 22 2005,Bayern München,4-0,MSV Duisburg
10,Sat Oct 22 2005,Eintracht Frankfurt,6-3,1. FC Köln
10,Sat Oct 22 2005,Hannover 96,0-0,Werder Bremen
10,Sat Oct 22 2005,Hertha BSC,3-1,1. FSV Mainz 05
